address|clean_address|lat|lng|loc_type|num_results
Alanvale St, Harrison ACT|Alanvale Street, Harrison ACT 2914, Australia|-35.206862|149.159043|GEOMETRIC_CENTER|1
Alarmon Cres, Dunlop ACT|Alarmon Crescent, Dunlop ACT 2615, Australia|-35.198228|149.019017|GEOMETRIC_CENTER|1
Alawa St, Waramanga ACT|Alawa Street, Weston Creek ACT 2611, Australia|-35.348731|149.065733|GEOMETRIC_CENTER|1
Albany St, Fyshwick ACT|Albany Street, Fyshwick ACT 2609, Australia|-35.326742|149.182373|GEOMETRIC_CENTER|1
Albatross Cres, Harrison ACT|Albatross Crescent, Harrison ACT, Australia|-35.205966|149.158197|GEOMETRIC_CENTER|1
Alberga St, Kaleen ACT|Alberga Street, Kaleen ACT 2617, Australia|-35.234386|149.102253|GEOMETRIC_CENTER|1
Albermarle Pl, Phillip ACT|Albermarle Place, Phillip ACT 2606, Australia|-35.348231|149.098305|GEOMETRIC_CENTER|1
Albert St, Acton ACT|Albert Street, Acton ACT 2601, Australia|-35.289520|149.126808|GEOMETRIC_CENTER|1
Albert St, Parkes ACT|Albert Street, Parkes ACT 2600, Australia|-35.289700|149.128160|GEOMETRIC_CENTER|1
Albert St, Queanbeyan ACT|Albert Street, Queanbeyan NSW 2620, Australia|-35.350757|149.228757|GEOMETRIC_CENTER|1
Albizia Pl, Jerrabomberra ACT|Albizia Place, Jerrabomberra NSW 2619, Australia|-35.385200|149.215197|GEOMETRIC_CENTER|1
Alda Pl, Melba ACT|Alda Place, Melba ACT 2615, Australia|-35.211581|149.051317|GEOMETRIC_CENTER|1
Aldcorn Pl, Charnwood ACT|Aldcorn Place, Charnwood ACT 2615, Australia|-35.194234|149.033961|GEOMETRIC_CENTER|1
Alder Cl, Jerrabomberra ACT|Alder Close, Jerrabomberra NSW 2619, Australia|-35.393383|149.198864|GEOMETRIC_CENTER|1
Alderman St, Evatt ACT|Alderman Street, Evatt ACT 2617, Australia|-35.213540|149.066873|GEOMETRIC_CENTER|1
Alderson Pl, Hume ACT|Alderson Place, Hume ACT 2620, Australia|-35.401053|149.158654|GEOMETRIC_CENTER|1
Aldor Grn, Conder ACT|Aldor Green, Conder ACT 2906, Australia|-35.467521|149.113274|GEOMETRIC_CENTER|1
Aldous St, Franklin ACT|Aldous Street, Franklin ACT 2913, Australia|-35.189192|149.145599|GEOMETRIC_CENTER|1
Alec Hope Cres, Franklin ACT|Alec Hope Crescent, Franklin ACT 2913, Australia|-35.200115|149.135862|GEOMETRIC_CENTER|1
Alexander Mackie Cct, Isaacs ACT|Alexander Mackie Circuit, Isaacs ACT 2607, Australia|-35.375536|149.112324|GEOMETRIC_CENTER|1
Alexander St, Red Hill ACT|Alexander Street, Red Hill ACT 2603, Australia|-35.332719|149.124629|GEOMETRIC_CENTER|1
Alexandra St, Hall ACT|Alexandra Street, Hall ACT 2618, Australia|-35.169927|149.067977|GEOMETRIC_CENTER|1
Alexandria St, Hawker ACT|Alexandria Street, Hawker ACT 2614, Australia|-35.243008|149.033924|GEOMETRIC_CENTER|1
Alexandrina Dr, Yarralumla ACT|Alexandrina Drive, Yarralumla ACT 2600, Australia|-35.299180|149.110174|GEOMETRIC_CENTER|1
Alford Pl, Bonython ACT|Alford Place, Bonython ACT 2905, Australia|-35.426652|149.077222|GEOMETRIC_CENTER|1
Alfred Hill Dr, Melba ACT|Alfred Hill Drive, Melba ACT 2615, Australia|-35.206896|149.055141|GEOMETRIC_CENTER|1
Alfred Pl, Karabar ACT|Alfred Place, Karabar NSW 2620, Australia|-35.377797|149.237982|GEOMETRIC_CENTER|1
Alfred Rd, Sutton ACT|Alfred Road, Sutton NSW 2620, Australia|-35.195912|149.212666|GEOMETRIC_CENTER|1
